Series Name,Series Code,Country Name,Country Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Population density (people per sq. km of land area),EN.POP.DNST,Afghanistan,AFG,55.649251031078,56.9920457507321,58.3256780583536,59.6849899575303
Population density (people per sq. km of land area),EN.POP.DNST,Albania,ALB,104.870693430657,104.612262773723,104.167554744526,103.571131386861
Population density (people per sq. km of land area),EN.POP.DNST,Algeria,DZA,17.3776972391205,17.7300617489475,18.0762954494212,18.4113398560129
Population density (people per sq. km of land area),EN.POP.DNST,American Samoa,ASM,278.085,277.305,276.56,275.985
Population density (people per sq. km of land area),EN.POP.DNST,Andorra,AND,163.823404255319,163.846808510638,164.140425531915,164.393617021277
Population density (people per sq. km of land area),EN.POP.DNST,Angola,AGO,23.9165549049491,24.7130721103714,25.527632148873,26.3626116948745
Population density (people per sq. km of land area),EN.POP.DNST,Antigua and Barbuda,ATG,216.875,218.822727272727,220.715909090909,222.563636363636
Population density (people per sq. km of land area),EN.POP.DNST,Argentina,ARG,16.0941907925267,16.2585100979651,16.4208266190179,16.580892611147
Population density (people per sq. km of land area),EN.POP.DNST,Armenia,ARM,103.434808570425,103.67899543379,103.889286968739,104.082683526519
Population density (people per sq. km of land area),EN.POP.DNST,Aruba,ABW,585.338888888889,588.033333333333,590.611111111111,593.144444444444
Population density (people per sq. km of land area),EN.POP.DNST,Australia,AUS,3.19836141871706,3.24787091037205,3.29767018286484,3.34024963533636
Population density (people per sq. km of land area),EN.POP.DNST,Austria,AUT,106.61131846825,107.131858943286,107.609306834707,108.057004362579
Population density (people per sq. km of land area),EN.POP.DNST,Azerbaijan,AZE,119.208741622511,120.25759188908,121.280071139933,122.124736829369
Population density (people per sq. km of land area),EN.POP.DNST,"Bahamas, The",BHS,38.1367632367632,38.524975024975,38.9096903096903,39.2855144855145
Population density (people per sq. km of land area),EN.POP.DNST,Bahrain,BHR,1915.48333333333,2012.10256410256,2095.99489144317,2167.62165605096
Population density (people per sq. km of land area),EN.POP.DNST,Bangladesh,BGD,1226.74518706307,1239.73813474687,1252.56336329415,1265.18693247292
Population density (people per sq. km of land area),EN.POP.DNST,Barbados,BRB,665.648837209302,666.604651162791,667.490697674419,668.304651162791
Population density (people per sq. km of land area),EN.POP.DNST,Belarus,BLR,46.5987595325832,46.5010592176569,46.4107506220284,46.211212927382
Population density (people per sq. km of land area),EN.POP.DNST,Belgium,BEL,375.66571994716,377.379590488771,379.424702774108,381.249702774108
Population density (people per sq. km of land area),EN.POP.DNST,Belize,BLZ,16.4741341516879,16.7939938623411,17.1131521262604,17.4318719859711
Population density (people per sq. km of land area),EN.POP.DNST,Benin,BEN,99.1059950336999,101.853804540617,104.65724547712,107.513284852785
Population density (people per sq. km of land area),EN.POP.DNST,Bermuda,BMU,1182.83333333333,1183.66666666667,1183.53703703704,1183.2037037037
Population density (people per sq. km of land area),EN.POP.DNST,Bhutan,BTN,19.5460098573826,19.7796539066597,20.00770844258,20.2310435238595
Population density (people per sq. km of land area),EN.POP.DNST,Bolivia,BOL,10.3321822209914,10.4801440044309,10.6278057786393,10.7754352441614
Population density (people per sq. km of land area),EN.POP.DNST,Bosnia and Herzegovina,BIH,65.4596484375,64.92048828125,64.4726171875,64.07841796875
Population density (people per sq. km of land area),EN.POP.DNST,Botswana,BWA,3.89087572565419,3.97732077003158,4.06490392250278,4.14946270710921
Population density (people per sq. km of land area),EN.POP.DNST,Brazil,BRA,24.8660377787402,25.0617146877176,25.2507757706858,25.4314248146119
Population density (people per sq. km of land area),EN.POP.DNST,British Virgin Islands,VGB,197.113333333333,198.633333333333,200.22,201.58
Population density (people per sq. km of land area),EN.POP.DNST,Brunei Darussalam,BRN,80.546679316888,81.3965844402277,82.2193548387097,83.0138519924099
Population density (people per sq. km of land area),EN.POP.DNST,Bulgaria,BGR,65.1800571112749,64.7110998526161,64.2571941783346,63.8726510685335
Population density (people per sq. km of land area),EN.POP.DNST,Burkina Faso,BFA,70.150716374269,72.1910307017544,74.2740606725146,76.4008698830409
Population density (people per sq. km of land area),EN.POP.DNST,Burundi,BDI,421.61253894081,435.178309968847,449.010007788162,463.036643302181
Population density (people per sq. km of land area),EN.POP.DNST,Cabo Verde,CPV,133.374441687345,134.929032258065,136.460545905707,137.962282878412
Population density (people per sq. km of land area),EN.POP.DNST,Cambodia,KHM,90.6946125084976,92.0563958758214,93.3975866757308,94.7143156582823
Population density (people per sq. km of land area),EN.POP.DNST,Cameroon,CMR,51.96858539062,53.3440396860655,54.7405110955977,56.1567641894608
Population density (people per sq. km of land area),EN.POP.DNST,Canada,CAN,4.07616632034255,4.1341488959455,4.19394931064213,4.24257678524224
Population density (people per sq. km of land area),EN.POP.DNST,Cayman Islands,CYM,264.091666666667,267.383333333333,270.616666666667,273.833333333333
Population density (people per sq. km of land area),EN.POP.DNST,Central African Republic,CAF,7.37748081800379,7.49040900189412,7.61690423448586,7.75267905871778
Population density (people per sq. km of land area),EN.POP.DNST,Chad,TCD,11.9256361181703,12.2917145806862,12.6642963786531,13.0446783672173
Population density (people per sq. km of land area),EN.POP.DNST,Channel Islands,CHI,..,..,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Chile,CHL,24.8414795866217,25.1894551949344,25.4891988508901,25.710001721513
Population density (people per sq. km of land area),EN.POP.DNST,China,CHN,148.144225437905,148.838644027707,149.367573167744,149.723552558882
Population density (people per sq. km of land area),EN.POP.DNST,Colombia,COL,44.0827796304642,44.7598521856692,45.3712870662461,45.8610941865705
Population density (people per sq. km of land area),EN.POP.DNST,Comoros,COM,437.340139709833,447.24449220849,457.22246104245,467.272971520688
Population density (people per sq. km of land area),EN.POP.DNST,"Congo, Dem. Rep.",COD,35.9051476588518,37.0825927968064,38.2834820581813,39.5057030061093
Population density (people per sq. km of land area),EN.POP.DNST,"Congo, Rep.",COG,14.9654494875549,15.3568462664715,15.7555021961933,16.1583953147877
Population density (people per sq. km of land area),EN.POP.DNST,Costa Rica,CRI,96.9438895417156,97.9131022326675,98.8554837446142,99.7672150411281
Population density (people per sq. km of land area),EN.POP.DNST,Cote d'Ivoire,CIV,76.8474056603774,78.8340440251572,80.8696666666667,82.9505503144654
Population density (people per sq. km of land area),EN.POP.DNST,Croatia,HRV,73.6997176756486,73.0441533843185,72.6405010363805,72.3316654753395
Population density (people per sq. km of land area),EN.POP.DNST,Cuba,CUB,109.241377649326,109.230693641619,109.185780346821,109.119614643545
Population density (people per sq. km of land area),EN.POP.DNST,Curacao,CUW,360.754504504504,358.864864864865,354.596846846847,348.97972972973
Population density (people per sq. km of land area),EN.POP.DNST,Cyprus,CYP,127.671536796537,128.708008658009,129.715800865801,130.666774891775
Population density (people per sq. km of land area),EN.POP.DNST,Czechia,CZE,137.21587877218,137.675534257221,138.226810266108,138.575928842168
